Load,Displacement
0,0
3.2725368539647,-0.00056379821958457
8.0850854504197,-0.001186943620178
10.715625446294,-0.0022255192878338
13.346070232787,-0.0034718100890208
15.97651501928,-0.0047181008902077
18.542503054634,-0.0065875370919881
21.300718830829,-0.009080118694362
23.994477855885,-0.012195845697329
26.623494501658,-0.016557863501484
29.252035100525,-0.021958456973294
31.880480490011,-0.027566765578635
34.572335327441,-0.034836795252226
37.328075659722,-0.04272997032641
40.019549659626,-0.050830860534125
42.518795918691,-0.058308605341246
45.210269918596,-0.066409495548961
47.837953633031,-0.073679525222552
50.33748552024,-0.08053412462908
53.090083942938,-0.095281899109792
42.309049651692,-0.095905044510386
31.849442231708,-0.095281899109792
21.197797489646,-0.093620178041543
10.803027658325,-0.091543026706231
0,-0.087596439169139
