load,displacement,branch_id,branch_kind,plaxis_step
0.0,0.0,0,initial,-1
26.6,3.47810559458311e-05,1,loading,0
53.2,6.91890172442274e-05,1,loading,1
7.8848453497788755,-0.000608801194845374,2,loading,0
9.910027259444973,-0.000925882417371496,2,loading,1
12.46070386744192,-0.00156995480401173,2,loading,2
12.430090510739062,-0.00173749857772639,2,loading,3
12.480171977888894,-0.00190400387430194,2,loading,4
12.633106070968928,-0.00198578399803053,2,loading,5
12.944602606051506,-0.00214923912342198,2,loading,6
13.225151309662229,-0.00231283709113659,2,loading,7
13.485568083283383,-0.00247651877378972,2,loading,8
13.970286023034289,-0.00280403872108153,2,loading,9
14.412330708583806,-0.00313173461580304,2,loading,10
14.828689801831533,-0.0034594697776579,2,loading,11
15.226802672116303,-0.00378726237632921,2,loading,12
15.617405072390238,-0.0041150205039425,2,loading,13
15.985744605390567,-0.00444289978698119,2,loading,14
16.346038303599386,-0.00477070365609571,2,loading,15
17.020308231049018,-0.00542643832215565,2,loading,16
17.620405539088907,-0.00608259845820662,2,loading,17
17.90543822044215,-0.00641077481671972,2,loading,18
18.467235399657444,-0.00706719885371666,2,loading,19
18.738032759822865,-0.00739548462248719,2,loading,20
19.250486798517066,-0.00805212044733849,2,loading,21
19.744688403050265,-0.00870874752390835,2,loading,22
19.99023879589878,-0.0090370673415725,2,loading,23
20.229101492468132,-0.00936546644209221,2,loading,24
20.697693125014567,-0.0100223591228942,2,loading,25
21.150378131070465,-0.010679445590165,2,loading,26
21.584897766219207,-0.0113366803849158,2,loading,27
22.010598768296475,-0.0119939989858091,2,loading,28
22.419196640605485,-0.012651384190846,2,loading,29
22.826538934887658,-0.0133087936082318,2,loading,30
23.228230707761835,-0.0139662918921574,2,loading,31
23.622660930458743,-0.0146238411797956,2,loading,32
24.01036457286641,-0.0152814750836556,2,loading,33
24.391240930610152,-0.0159391867881283,2,loading,34
24.76459276725768,-0.0165970782011353,2,loading,35
25.134425548243296,-0.0172550562323993,2,loading,36
25.489237786956878,-0.0179131124373288,2,loading,37
26.198604227700095,-0.0192293070242717,2,loading,38
26.889560770129098,-0.0205457308667264,2,loading,39
27.230058725433402,-0.0212040422379043,2,loading,40
