load,displacement,branch_id,branch_kind,plaxis_step
0.0,0.0,0,initial,-1
26.6,3.38226200144795e-05,1,loading,0
53.2,6.72252271695057e-05,1,loading,1
7.8848453497788755,0.000557540804894825,2,loading,0
9.910027259444973,0.000747591408874562,2,loading,1
12.46070386744192,0.00103952267002736,2,loading,2
12.430090510739062,0.00103814732211515,2,loading,3
12.480171977888894,0.00104307657375773,2,loading,4
12.633106070968928,0.00105593854572889,2,loading,5
12.944602606051506,0.0010852283294463,2,loading,6
13.225151309662229,0.00111655462015628,2,loading,7
13.485568083283383,0.00114846284456283,2,loading,8
13.970286023034289,0.0012113994148976,2,loading,9
14.412330708583806,0.00126990964234482,2,loading,10
14.828689801831533,0.0013250827267363,2,loading,11
15.226802672116303,0.00137851423833468,2,loading,12
15.617405072390238,0.00143106493465737,2,loading,13
15.985744605390567,0.00148235568498863,2,loading,14
16.346038303599386,0.00153329386503248,2,loading,15
17.020308231049018,0.0016326710882049,2,loading,16
17.620405539088907,0.00172556215387298,2,loading,17
17.90543822044215,0.00176972230893239,2,loading,18
18.467235399657444,0.00185842694009955,2,loading,19
18.738032759822865,0.00190223102830446,2,loading,20
19.250486798517066,0.00198814358074411,2,loading,21
19.744688403050265,0.00207264565407833,2,loading,22
19.99023879589878,0.00211492653367498,2,loading,23
20.229101492468132,0.00215708329153113,2,loading,24
20.697693125014567,0.0022411362475941,2,loading,25
21.150378131070465,0.00232444959014579,2,loading,26
21.584897766219207,0.00240645718665279,2,loading,27
22.010598768296475,0.00248803646407379,2,loading,28
22.419196640605485,0.0025680189336504,2,loading,29
22.826538934887658,0.00264827647802483,2,loading,30
23.228230707761835,0.00272910216030369,2,loading,31
23.622660930458743,0.00280966099100413,2,loading,32
24.01036457286641,0.00289048675335503,2,loading,33
24.391240930610152,0.00297161041863978,2,loading,34
24.76459276725768,0.00305314348476619,2,loading,35
25.134425548243296,0.00313511867374222,2,loading,36
25.489237786956878,0.00321653526596628,2,loading,37
26.198604227700095,0.00338083586248205,2,loading,38
26.889560770129098,0.00354606885232056,2,loading,39
